project,commit_id,CWE,CVE,bug_info,commit_url,repo_url
libass,017137471d0043e0321e377ed8da48e45a3ec632,CWE-369,,Out-of-bounds Read,https://github.com/libass/libass/commit/017137471d0043e0321e377ed8da48e45a3ec632,https://github.com/libass/libass
gpac,00194f5fe462123f70b0bae7987317b52898b868,CWE-476,,NULL Pointer Dereference,https://github.com/gpac/gpac/commit/00194f5fe462123f70b0bae7987317b52898b868,https://github.com/gpac/gpac
linux,8dfbcc4351a0b6d2f2d77f367552f48ffefafe18,CWE-284,,Access Restriction Bypass,https://github.com/torvalds/linux/commit/8dfbcc4351a0b6d2f2d77f367552f48ffefafe18,https://github.com/torvalds/linux
cups,0bc9dc4658c26920a3f66da7dd234be463ca572e,CWE-284,,Access Restriction Bypass,https://github.com/apple/cups/commit/0bc9dc4658c26920a3f66da7dd234be463ca572e,https://github.com/apple/cups
vim,d25f003342aca9889067f2e839963dfeccf1fe05,CWE-787,,Out-of-Bounds,https://github.com/vim/vim/commit/d25f003342aca9889067f2e839963dfeccf1fe05,https://github.com/vim/vim
leptonica,c1079bb8e77cdd426759e466729917ca37a3ed9f,CWE-787,,Out-of-Bounds,https://github.com/DanBloomberg/leptonica/commit/c1079bb8e77cdd426759e466729917ca37a3ed9f,https://github.com/DanBloomberg/leptonica
ImageMagick,01faddbe2711a4156180c4a92837e2f23683cc68,CWE-200,,Information Exposure,https://github.com/ImageMagick/ImageMagick/commit/01faddbe2711a4156180c4a92837e2f23683cc68,https://github.com/ImageMagick/ImageMagick
linux,fa3d315a4ce2c0891cdde262562e710d95fba19e,CWE-787,,Improper Input Validation,https://github.com/torvalds/linux/commit/fa3d315a4ce2c0891cdde262562e710d95fba19e,https://github.com/torvalds/linux
corosync,b3f456a8ceefac6e9f2e9acc2ea0c159d412b595,CWE-703,,Denial of Service (DoS),https://github.com/corosync/corosync/commit/b3f456a8ceefac6e9f2e9acc2ea0c159d412b595,https://github.com/corosync/corosync
vim,806d037671e133bd28a7864248763f643967973a,CWE-787,,Heap-based Buffer Overflow,https://github.com/vim/vim/commit/806d037671e133bd28a7864248763f643967973a,https://github.com/vim/vim
njs,222d6fdcf0c6485ec8e175f3a7b70d650c234b4e,CWE-703,,Improper implementation,https://github.com/nginx/njs/commit/222d6fdcf0c6485ec8e175f3a7b70d650c234b4e,https://github.com/nginx/njs
Singular,5f28fbf066626fa9c4a8f0e6408c0bb362fb386c,CWE-269,,Privilege Escalation,https://github.com/Singular/Singular/commit/5f28fbf066626fa9c4a8f0e6408c0bb362fb386c,https://github.com/Singular/Singular
FFmpeg,2aa9047486dbff12d9e040f917e5f799ed2fd78b,CWE-476,,NULL Pointer Dereference,https://github.com/FFmpeg/FFmpeg/commit/2aa9047486dbff12d9e040f917e5f799ed2fd78b,https://github.com/FFmpeg/FFmpeg
open62541,c800e2987b10bb3af6ef644b515b5d6392f8861d,CWE-703,,Improper Data Handling,https://github.com/open62541/open62541/commit/c800e2987b10bb3af6ef644b515b5d6392f8861d,https://github.com/open62541/open62541
